blockNumber,targetBlock,initialSeed,tokenId,createTokenSeed,timestamp,parentBlockId,parentBlockHash,difficulty,details,heroRarity
13762167,13762161,96742106376522586009203834480285095966188743660938291849514302468489565323649,7439548,11201970614556239412226611954265868692157687558347294242563063364437541675398885590142465317228709585223337250336546318467459270706328634051299762683086012,1640371984,13762166,0xc35e1ebabb2178404c3805ac7c39bb0d96394ed4948a9977047d264ed839878e,2,159735425253387325921645659324,0
13762168,13762161,96742106376522586009203834480285095966188743660938291849514302468489565323649,7439553,11201970614556239412226611954265868692157687558347294242563063364437541675398885590142465317228709585223337250336546318467459270706328634051299762683086017,1640371987,13762167,0x8a228d98c5c60f553531dba54a220a970b20847cb41000e267473a7a32543fb5,2,199348296405370393167402206401,0
13762168,13762162,100637223866277383585502592101695919752172511619863820495299613000359686877448,7439552,11652994406519757984754800783016149887185231597985602769515959798044418758129170827539324205747113280824706367024674951910393539654578559291029796406002880,1640371987,13762167,0x8a228d98c5c60f553531dba54a220a970b20847cb41000e267473a7a32543fb5,2,278577654858767499413408548032,0
13762168,13762163,28148341047763581138517774907414221137203825095203096078976656946701102955685,7439554,3259355218485051043090358399489782837893589218382548807281450507080586095232020629285812070621605362102297591437071241994097665910587057014733709421675714,1640371987,13762167,0x8a228d98c5c60f553531dba54a220a970b20847cb41000e267473a7a32543fb5,2,6578496880460097483356752676034,1
13762170,13762164,26393355917467296243734091900067623857155449427644466794415083715733094182131,7439564,3056141823667620632037356206774081108585399151903451574253377848399743280587508860168643984094755665423418441224604354152880786694551548047725456442623180,1640371993,13762169,0x4619b5f5f634536ef168da5c24ce0d664c0b22554f40a1533375c1d2813e3ffe,2,211741101564669828016326657017036,2
13762171,13762165,16784367671880480747215618554704498351074180644341268819757806556947031148509,7439568,1943496999254309702525432739102755153822162505287831833499292322134690995815528897942927958610747793050823313491052942563182259651609742727625199720694992,1640371996,13762170,0x8e53cf09351038d269fe98dfc9d8156c643dbb5bef17e5e69e9965ecb06073a1,2,159735419422994597230503101648,0
13762172,13762162,100637223866277383585502592101695919752172511619863820495299613000359686877448,7439585,11652994406519757984754800783016149887185231597985602769515959798044418758129170827539324205747113280824706367024674951910393539654578559291029796406002913,1640371999,13762171,0x25aa29106253778b636486771a18880df04a01404ee2a9ba4f57464b36312d29,2,238964780240237698191014855905,0
13762172,13762164,26393355917467296243734091900067623857155449427644466794415083715733094182131,7439578,3056141823667620632037356206774081108585399151903451574253377848399743280587508860168643984094755665423418441224604354152880786694551548047725456442623194,1640371999,13762171,0x25aa29106253778b636486771a18880df04a01404ee2a9ba4f57464b36312d29,2,238962380021419366886522586330,0
13762172,13762163,28148341047763581138517774907414221137203825095203096078976656946701102955685,7439588,3259355218485051043090358399489782837893589218382548807281450507080586095232020629285812070621605362102297591437071241994097665910587057014733709421675748,1640371999,13762171,0x25aa29106253778b636486771a18880df04a01404ee2a9ba4f57464b36312d29,2,120121345176955990133248722148,0
13762172,13762161,96742106376522586009203834480285095966188743660938291849514302468489565323649,7439587,11201970614556239412226611954265868692157687558347294242563063364437541675398885590142465317228709585223337250336546318467459270706328634051299762683086051,1640371999,13762171,0x25aa29106253778b636486771a18880df04a01404ee2a9ba4f57464b36312d29,2,159735412339586736314297451747,0
